CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9530624,2,1,2,F,29,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2022
9530624,2,2,2,F,28,0,6,P,G,0,"SAN DIEGO","SAN DIEGO",2022
9532279,1,1,4,M,32,4,1,P,A,2,"SAN DIEGO","SAN DIEGO",2022
8537199,2,1,4,M,19,3,0,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8538777,1,1,4,M,26,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8539712,1,1,4,M,31,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8539740,1,1,4,M,37,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8544445,2,1,4,M,52,6,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8545810,2,1,4,M,40,3,1,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8546220,2,1,4,F,35,4,1,P,B,0,"SAN DIEGO","SAN DIEGO",2018
8560767,2,1,4,M,45,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8579891,2,1,4,M,53,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8580309,1,1,4,M,58,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8584264,1,1,4,M,50,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8590424,2,1,4,M,21,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8591413,2,1,4,M,17,3,1,-,-,0,"SAN DIEGO","SAN DIEGO",2018
8592083,1,1,4,M,26,4,1,W,P,1,"SAN DIEGO","SAN DIEGO",2018
8594228,2,1,4,M,25,3,1,P,-,2,"SAN DIEGO","SAN DIEGO",2018
8594357,2,1,4,M,32,3,1,N,W,1,"SAN DIEGO","SAN DIEGO",2018
8594621,2,1,4,F,48,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8605031,1,1,4,M,64,3,9,P,W,3,"SAN DIEGO","SAN DIEGO",2018
8606155,1,1,4,-,57,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8608344,1,1,4,M,59,4,1,-,W,3,"SAN DIEGO","SAN DIEGO",2018
8608737,1,1,4,M,73,6,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8610133,1,1,4,M,68,6,9,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8610400,1,1,2,F,9,3,2,P,X,0,"SAN DIEGO","SAN DIEGO",2018
8614247,2,1,4,M,48,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8614576,2,1,4,M,41,2,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8615524,1,1,4,F,43,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8619313,1,1,4,M,12,6,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8621316,1,1,4,M,22,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8624234,2,1,4,F,53,3,9,-,V,2,"SAN DIEGO","SAN DIEGO",2018
8625527,1,1,4,M,34,6,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8626122,1,1,4,M,37,6,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8632776,1,1,4,M,12,4,1,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8640829,1,1,4,F,26,6,1,P,W,3,"SAN DIEGO","SAN DIEGO",2018
8640976,1,1,4,M,65,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8640991,2,1,4,F,36,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8641652,2,1,4,M,66,4,1,-,W,2,"SAN DIEGO","SAN DIEGO",2018
8641656,1,1,4,M,13,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8643830,1,1,4,M,26,3,1,V,-,3,"SAN DIEGO","SAN DIEGO",2018
8648857,2,1,4,M,26,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8650824,1,1,4,F,46,6,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8659134,2,1,3,M,77,5,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8661364,1,1,4,F,18,6,1,-,V,2,"SAN DIEGO","SAN DIEGO",2018
8664685,2,1,4,M,31,3,0,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8669301,1,1,4,F,15,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8671987,2,1,4,M,39,7,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8673898,1,1,4,M,24,4,1,M,A,0,"SAN DIEGO","SAN DIEGO",2018
8676144,1,1,4,M,60,3,1,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8679077,1,1,4,M,42,3,1,-,-,1,"SAN DIEGO","SAN DIEGO",2018
8682120,1,1,4,M,60,4,1,W,-,1,"SAN DIEGO","SAN DIEGO",2018
8682120,2,1,2,M,14,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8684859,1,1,4,M,42,3,1,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8689179,1,1,2,F,51,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8689179,2,1,4,M,26,4,1,P,W,2,"SAN DIEGO","SAN DIEGO",2018
8693579,1,1,4,M,70,6,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8693943,1,1,4,F,25,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8696246,1,1,4,M,86,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8699304,1,1,4,M,35,3,1,-,P,0,"SAN DIEGO","SAN DIEGO",2018
8699304,2,1,2,F,50,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8699304,2,2,2,F,1,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8699323,2,1,4,M,58,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8706774,1,1,4,M,20,6,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8706937,2,1,4,M,11,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8708734,1,1,2,F,30,0,2,M,G,3,"SAN DIEGO","SAN DIEGO",2018
8708734,2,1,4,F,31,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8710298,1,1,4,F,21,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8713634,1,1,4,M,35,3,9,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8713936,2,1,4,M,32,6,9,P,V,3,"SAN DIEGO","SAN DIEGO",2018
8721650,1,1,4,-,24,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8722793,1,1,4,F,19,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8732156,2,1,4,-,67,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8732156,2,2,2,-,998,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8732779,2,1,4,M,54,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8734498,1,1,2,F,16,0,3,M,B,0,"SAN DIEGO","SAN DIEGO",2018
8734498,1,2,2,F,16,0,6,M,B,0,"SAN DIEGO","SAN DIEGO",2018
8734498,2,1,4,M,55,3,0,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8735380,1,1,4,F,36,6,1,P,V,3,"SAN DIEGO","SAN DIEGO",2018
8741137,1,1,4,F,42,6,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8741971,1,1,4,M,51,6,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8747928,1,1,4,M,11,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8747928,2,1,2,M,49,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8747928,2,2,2,M,49,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8747928,2,3,2,M,13,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8747928,2,4,2,F,11,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8747936,1,1,4,M,44,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8747991,2,1,4,M,60,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8753757,1,1,4,F,16,6,1,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8759881,1,1,4,F,18,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2018
8767147,1,1,4,F,62,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8768522,1,1,4,F,42,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8769246,1,1,4,M,52,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8771261,2,1,4,F,29,4,1,P,A,1,"SAN DIEGO","SAN DIEGO",2018
8772146,1,1,2,M,16,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8772146,1,2,2,F,31,0,3,M,G,3,"SAN DIEGO","SAN DIEGO",2018
8772146,2,1,4,M,31,4,2,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8773350,1,1,4,M,34,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8778719,2,1,4,M,51,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2018
8789476,1,1,4,M,33,2,9,V,-,1,"SAN DIEGO","SAN DIEGO",2019
8793557,1,1,4,M,33,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8794938,1,1,4,M,52,6,0,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8805326,2,1,4,M,62,6,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8811308,2,1,4,M,16,3,9,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8813480,1,1,4,F,49,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8813480,2,1,4,M,14,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8814022,2,1,4,-,60,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8820387,1,1,4,M,29,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8827148,1,1,4,M,65,3,1,P,A,0,"SAN DIEGO","SAN DIEGO",2019
8829050,2,1,4,F,55,2,1,P,W,3,"SAN DIEGO","SAN DIEGO",2019
8829525,2,1,4,M,52,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8829574,2,1,4,-,34,6,1,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8834828,1,1,4,M,17,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8834841,1,1,2,F,23,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8834841,2,1,4,M,24,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8834844,1,1,4,-,27,6,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8835647,1,1,4,M,55,3,1,P,A,3,"SAN DIEGO","SAN DIEGO",2019
8835647,2,1,2,F,18,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8843817,1,1,4,M,32,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8845617,1,1,4,F,44,4,1,P,V,2,"SAN DIEGO","SAN DIEGO",2019
8853082,2,1,4,M,43,4,1,P,A,0,"SAN DIEGO","SAN DIEGO",2019
8853111,1,1,4,M,33,2,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8859326,1,1,4,M,58,6,1,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8866182,1,1,4,M,13,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8872465,1,1,4,M,53,2,0,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8876253,1,1,4,M,40,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8876253,2,1,2,M,16,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8886284,1,1,4,M,57,7,1,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8889330,1,1,4,M,54,4,1,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8889454,1,1,4,M,15,6,1,P,-,1,"SAN DIEGO","SAN DIEGO",2019
8890202,2,1,4,M,37,4,9,P,A,0,"SAN DIEGO","SAN DIEGO",2019
8893490,1,1,4,M,57,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2019
8896227,2,1,4,M,57,4,9,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8898498,1,1,4,F,47,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8898498,2,1,2,F,47,0,6,M,B,0,"SAN DIEGO","SAN DIEGO",2019
8899994,1,1,3,M,86,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8903479,1,1,4,M,77,3,1,P,W,2,"SAN DIEGO","SAN DIEGO",2019
8913841,2,1,4,F,22,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8916605,1,1,4,M,33,3,9,-,W,1,"SAN DIEGO","SAN DIEGO",2019
8929651,2,1,4,F,37,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8929672,1,1,4,F,35,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2019
8937104,1,1,4,M,34,4,1,M,V,3,"SAN DIEGO","SAN DIEGO",2019
8939259,1,1,4,M,66,1,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8939423,2,1,4,M,27,1,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8944989,1,1,4,M,62,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
8945797,1,1,4,M,27,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8945797,2,1,2,M,21,0,2,M,E,0,"SAN DIEGO","SAN DIEGO",2019
8945797,2,2,2,M,19,0,3,M,E,0,"SAN DIEGO","SAN DIEGO",2019
8947104,2,1,4,M,64,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2019
8954154,2,1,4,M,38,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8955608,1,1,4,F,20,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8955608,2,1,2,F,48,0,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8957580,1,1,4,F,23,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8961716,1,1,4,M,12,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8961808,1,1,4,M,58,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8969292,1,1,4,M,32,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8973022,1,1,4,M,16,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8974393,1,1,4,F,20,4,0,P,W,3,"SAN DIEGO","SAN DIEGO",2019
8976236,1,1,4,M,72,4,1,W,-,1,"SAN DIEGO","SAN DIEGO",2019
8976236,2,1,2,F,75,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8976622,2,1,4,F,11,3,0,P,C,2,"SAN DIEGO","SAN DIEGO",2019
8978255,1,1,2,F,52,0,6,M,H,0,"SAN DIEGO","SAN DIEGO",2019
8978255,1,2,2,-,998,0,4,M,H,0,"SAN DIEGO","SAN DIEGO",2019
8978255,2,1,4,M,60,4,0,P,A,1,"SAN DIEGO","SAN DIEGO",2019
8981684,1,1,4,M,31,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
8987761,1,1,4,M,57,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8993472,1,1,2,M,34,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8993472,2,1,4,M,56,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8995953,1,1,4,M,41,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
9005930,2,1,4,M,36,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
9022263,1,1,2,F,48,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2019
9022263,2,1,4,M,57,3,9,-,W,3,"SAN DIEGO","SAN DIEGO",2019
9034589,1,1,4,M,65,3,1,-,V,1,"SAN DIEGO","SAN DIEGO",2019
9036465,2,1,4,M,36,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2020
9038495,1,1,4,F,37,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2020
9040284,2,1,4,M,59,4,0,P,B,3,"SAN DIEGO","SAN DIEGO",2020
9043959,2,1,4,F,54,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2020
9044863,1,1,4,F,29,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
9054817,1,1,4,M,36,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9062791,1,1,4,M,23,4,1,N,X,0,"SAN DIEGO","SAN DIEGO",2020
9074914,1,1,4,M,36,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9074914,2,1,3,F,39,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2020
9075131,2,1,4,M,47,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2020
9075201,1,1,3,M,8,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9075201,2,1,4,F,36,3,-,-,W,-,"SAN DIEGO","SAN DIEGO",2020
9075270,2,1,4,M,37,4,1,P,W,-,"SAN DIEGO","SAN DIEGO",2020
90797458,1,1,4,M,53,1,1,-,W,1,"SAN DIEGO","SAN DIEGO",2018
9081258,2,1,4,M,65,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9085712,2,1,4,M,26,3,1,P,W,-,"SAN DIEGO","SAN DIEGO",2020
9092014,1,1,4,M,15,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9099373,1,1,4,F,50,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2020
9101580,1,1,4,M,31,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9104406,1,1,4,-,998,4,1,P,B,3,"SAN DIEGO","SAN DIEGO",2019
9104894,1,1,4,M,48,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9106611,1,1,4,M,48,3,1,-,-,1,"SAN DIEGO","SAN DIEGO",2020
9106611,2,1,2,F,50,0,2,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9107989,2,1,4,M,21,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2022
9108185,2,1,4,F,39,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9117196,2,1,4,F,57,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9118582,2,1,4,M,52,4,1,P,A,0,"SAN DIEGO","SAN DIEGO",2020
9119121,2,1,4,M,59,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2020
9127327,1,1,4,M,40,2,1,P,V,3,"SAN DIEGO","SAN DIEGO",2020
9132005,1,1,4,M,23,4,1,P,V,-,"SAN DIEGO","SAN DIEGO",2020
9143648,1,1,4,F,49,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2020
9146134,2,1,2,M,33,4,1,P,A,1,"SAN DIEGO","SAN DIEGO",2020
9147150,1,1,4,M,67,3,1,P,-,1,"SAN DIEGO","SAN DIEGO",2020
9147151,1,1,4,M,55,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9150904,1,1,4,M,29,3,0,P,-,1,"SAN DIEGO","SAN DIEGO",2020
9155160,1,1,4,M,20,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2020
9155160,1,2,2,M,22,3,2,P,V,0,"SAN DIEGO","SAN DIEGO",2020
9155160,2,1,1,M,43,3,1,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9155160,2,2,2,F,7,3,3,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9158570,2,1,4,F,39,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9158576,1,1,4,M,62,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9159496,1,1,4,M,12,3,1,P,A,0,"SAN DIEGO","SAN DIEGO",2020
91630731,1,1,4,M,50,6,0,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9163832,1,1,4,M,52,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9165063,1,1,2,M,998,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9165063,2,1,4,M,60,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9170191,2,1,4,M,53,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2020
9170192,1,1,4,M,62,3,0,N,X,1,"SAN DIEGO","SAN DIEGO",2020
9174985,2,1,4,M,47,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2020
9174987,2,1,4,M,25,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2020
9178709,1,1,4,M,70,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9180894,1,1,4,F,53,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9181287,2,1,4,F,24,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9196045,1,1,4,M,25,4,1,P,A,0,"SAN DIEGO","SAN DIEGO",2020
9196518,1,1,4,F,28,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2020
9203971,1,1,4,M,34,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9204751,2,1,4,M,11,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9210987,1,1,4,M,6,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9211199,1,1,4,M,63,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9213548,2,1,4,M,16,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9213746,1,1,4,M,58,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9213751,2,1,4,M,35,3,1,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9213878,1,1,4,M,27,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9219280,1,1,4,M,25,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2020
9219347,1,1,4,M,50,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9221110,2,1,4,F,27,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9229744,1,1,4,M,13,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9230539,1,1,4,M,16,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9236396,1,1,4,M,11,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9238486,1,1,4,M,51,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9242995,2,1,4,F,55,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9245225,2,1,4,F,18,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9246473,1,1,4,F,91,3,1,N,-,-,"SAN DIEGO","SAN DIEGO",2021
9248453,1,1,4,M,34,4,1,P,-,-,"SAN DIEGO","SAN DIEGO",2021
9248538,2,1,4,F,48,3,-,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9252982,1,1,4,M,46,3,-,V,-,1,"SAN DIEGO","SAN DIEGO",2021
9252982,2,1,2,M,31,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9252999,1,1,4,M,44,3,-,P,A,0,"SAN DIEGO","SAN DIEGO",2021
9257923,2,1,4,F,68,4,-,W,-,-,"SAN DIEGO","SAN DIEGO",2021
9257924,2,1,4,M,63,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9258360,1,1,4,M,28,3,-,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9260072,1,1,4,F,26,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9260072,2,1,2,M,23,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9260210,2,1,4,M,33,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9263217,1,1,4,M,77,3,-,W,-,1,"SAN DIEGO","SAN DIEGO",2021
9270466,1,1,4,M,55,2,1,M,Y,2,"SAN DIEGO","SAN DIEGO",2021
9270473,2,1,4,F,25,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9270810,1,1,4,M,39,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9272024,1,1,4,M,58,3,-,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9272025,2,1,4,M,34,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9274829,1,1,4,M,64,2,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9274885,1,1,4,-,998,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9275442,1,1,4,M,40,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9279588,1,1,4,F,35,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9280030,1,1,4,M,58,3,1,P,V,-,"SAN DIEGO","SAN DIEGO",2021
9283218,2,1,4,M,26,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9283771,1,1,2,M,29,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9283771,2,1,4,M,48,4,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9283776,2,1,4,M,64,4,0,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9283779,1,1,2,M,46,0,3,L,G,0,"SAN DIEGO","SAN DIEGO",2021
9283779,1,2,2,F,8,0,9,L,U,0,"SAN DIEGO","SAN DIEGO",2021
9283779,2,1,4,M,56,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9286386,2,1,4,M,70,3,1,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9290476,1,1,4,M,23,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9293113,1,1,4,F,31,3,1,P,B,3,"SAN DIEGO","SAN DIEGO",2021
9293156,1,1,4,F,30,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9293156,2,1,2,M,28,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9297117,1,1,4,M,25,3,1,P,B,1,"SAN DIEGO","SAN DIEGO",2021
9299198,1,1,4,M,43,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9303827,1,1,4,M,39,3,1,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9310414,1,1,4,F,22,3,1,P,A,-,"SAN DIEGO","SAN DIEGO",2021
9316732,2,1,4,M,16,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9324216,2,1,4,M,18,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9326749,1,1,4,F,29,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2021
9337085,1,1,4,M,84,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9337308,1,1,4,M,69,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9341931,1,1,4,M,78,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9343766,1,1,4,F,59,2,1,-,W,-,"SAN DIEGO","SAN DIEGO",2021
9344715,1,1,4,F,25,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9344715,2,1,3,F,50,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9344716,1,1,4,F,70,3,-,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9344774,1,1,4,M,32,3,0,N,W,1,"SAN DIEGO","SAN DIEGO",2021
9347795,1,1,4,M,57,3,1,P,Y,3,"SAN DIEGO","SAN DIEGO",2021
9355899,2,1,4,M,61,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9359214,1,1,4,F,71,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9359219,2,1,4,M,33,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9365968,2,1,4,M,22,4,-,-,-,0,"SAN DIEGO","SAN DIEGO",2021
