CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8898491,1,1,4,M,30,3,9,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8905436,1,1,4,M,31,3,1,P,A,0,"SAN DIEGO","SAN DIEGO",2019
8914121,2,1,4,M,53,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8944658,1,1,4,M,55,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8992908,1,1,4,M,17,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
9301362,2,1,4,M,13,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
8549671,1,1,4,M,46,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8610396,1,1,4,M,26,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8922189,1,1,4,M,77,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
9204749,2,1,4,M,66,3,1,P,W,2,"SAN DIEGO","SAN DIEGO",2020
9282665,2,1,4,F,46,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2021
9314262,1,1,4,M,60,4,1,P,A,0,"SAN DIEGO","SAN DIEGO",2021
9349072,1,1,4,M,27,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9480923,1,1,4,M,65,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2022
9508364,1,1,4,M,14,3,0,P,A,0,"SAN DIEGO","SAN DIEGO",2022
8945036,1,1,4,M,52,3,1,P,B,3,"SAN DIEGO","SAN DIEGO",2019
9020013,2,1,4,M,54,4,1,P,Y,2,"SAN DIEGO","SAN DIEGO",2019
9336341,1,1,4,M,60,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9430687,1,1,4,F,15,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2022
9473238,1,1,4,M,43,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2022
9528605,2,1,4,M,31,3,0,P,W,1,"SAN DIEGO","SAN DIEGO",2022
8603652,1,1,4,M,11,3,1,P,-,0,"SAN DIEGO","SAN DIEGO",2018
8829095,1,1,4,-,31,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8890394,1,1,4,F,59,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
9134764,1,1,4,M,63,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9134764,2,1,2,M,28,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9208066,1,1,4,F,49,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9314228,1,1,2,F,29,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9314228,1,2,2,-,0,0,6,P,Q,0,"SAN DIEGO","SAN DIEGO",2021
9314228,2,1,4,M,49,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9349071,1,1,1,F,68,4,1,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9349071,2,1,4,M,65,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2021
9448259,2,1,1,M,42,4,1,P,A,1,"SAN DIEGO","SAN DIEGO",2022
9482458,1,1,4,F,14,3,1,N,W,1,"SAN DIEGO","SAN DIEGO",2022
9498410,2,1,4,F,13,3,0,M,A,0,"SAN DIEGO","SAN DIEGO",2022
9501747,2,1,4,M,41,2,1,P,A,1,"SAN DIEGO","SAN DIEGO",2022
91121433,1,1,4,M,17,1,1,-,V,1,"SAN DIEGO","SAN DIEGO",2019
8621304,1,1,4,M,71,3,1,W,-,1,"SAN DIEGO","SAN DIEGO",2018
8641722,1,1,2,M,37,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8769343,1,1,2,F,3,0,3,M,G,3,"SAN DIEGO","SAN DIEGO",2019
8769343,2,1,4,M,29,4,1,A,P,3,"SAN DIEGO","SAN DIEGO",2019
8466077,1,1,4,M,53,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8548755,1,1,2,F,65,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8548755,2,1,4,M,20,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8550236,2,1,4,M,16,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8550477,2,1,4,F,24,3,1,P,-,1,"SAN DIEGO","SAN DIEGO",2018
8551644,1,1,4,M,83,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8559126,2,1,4,-,64,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8559146,1,1,4,F,69,2,1,V,-,0,"SAN DIEGO","SAN DIEGO",2018
8559146,2,1,4,M,70,4,1,V,-,0,"SAN DIEGO","SAN DIEGO",2018
8563570,2,1,4,M,63,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2018
8563620,1,1,4,M,25,2,1,P,W,2,"SAN DIEGO","SAN DIEGO",2018
8572478,1,1,4,M,25,3,1,P,-,1,"SAN DIEGO","SAN DIEGO",2018
8580484,1,1,4,M,23,4,1,P,U,1,"SAN DIEGO","SAN DIEGO",2018
8586845,2,1,4,M,16,4,9,-,-,1,"SAN DIEGO","SAN DIEGO",2018
8592374,1,1,4,M,56,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
